id,nickname,is_host,is_system,joined_at,total_score,planet_usage_state
0b11d4ae-c3a7-4466-adc0-17edb67f28bd,Suhas,f,f,2026-04-08 17:14:10.77546+00,144,"{""tally"": {""MARS"": 10, ""EARTH"": 8, ""PLUTO"": 9, ""VENUS"": 6, ""SATURN"": 16, ""URANUS"": 8, ""JUPITER"": 32, ""MERCURY"": 12, ""NEPTUNE"": 6}, ""currentPriority"": ""VENUS"", ""previousPriority"": ""MARS""}"
97d95c15-6cfc-4e17-974f-ab045293039b,minato,f,f,2026-04-08 17:14:38.543581+00,133,"{""tally"": {""MARS"": 10, ""EARTH"": 8, ""PLUTO"": 21, ""VENUS"": 4, ""SATURN"": 12, ""URANUS"": 8, ""JUPITER"": 22, ""MERCURY"": 22, ""NEPTUNE"": 12}, ""currentPriority"": ""URANUS"", ""previousPriority"": ""MARS""}"
2fb76a6a-c66a-4616-8315-055a639b24ef,Fahad,f,f,2026-04-08 17:14:36.837632+00,130,"{""tally"": {""MARS"": 10, ""EARTH"": 10, ""PLUTO"": 18, ""VENUS"": 2, ""SATURN"": 10, ""URANUS"": 18, ""JUPITER"": 22, ""MERCURY"": 12, ""NEPTUNE"": 9}, ""currentPriority"": ""NEPTUNE"", ""previousPriority"": ""MERCURY""}"
3f3158e2-7466-483b-b873-83c2bf8ba799,Ahmed,f,f,2026-04-08 17:14:10.161824+00,124,"{""tally"": {""MARS"": 10, ""EARTH"": 10, ""PLUTO"": 21, ""VENUS"": 4, ""SATURN"": 4, ""URANUS"": 14, ""JUPITER"": 22, ""MERCURY"": 10, ""NEPTUNE"": 12}, ""currentPriority"": ""SATURN"", ""previousPriority"": ""MARS""}"
6c041567-3604-48e5-8ae9-737d6f743a74,Shawn,f,f,2026-04-08 17:14:12.446106+00,117,"{""tally"": {""MARS"": 2, ""EARTH"": 6, ""PLUTO"": 15, ""VENUS"": 8, ""SATURN"": 18, ""URANUS"": 8, ""JUPITER"": 24, ""MERCURY"": 12, ""NEPTUNE"": 12}, ""currentPriority"": ""MERCURY"", ""previousPriority"": ""VENUS""}"
b35063f6-52cd-477e-8a2d-ffa529c1688d,Louis,f,f,2026-04-08 17:14:37.709796+00,110,"{""tally"": {""MARS"": 8, ""EARTH"": 10, ""PLUTO"": 15, ""VENUS"": 8, ""SATURN"": 10, ""URANUS"": 16, ""JUPITER"": 22, ""MERCURY"": 14, ""NEPTUNE"": 6}, ""currentPriority"": ""SATURN"", ""previousPriority"": ""MARS""}"
733627d5-9b16-4cbe-9c51-1a19e2872dbf,Kirill,f,f,2026-04-08 17:14:26.820603+00,106,"{""tally"": {""MARS"": 10, ""EARTH"": 10, ""PLUTO"": 12, ""VENUS"": 2, ""SATURN"": 12, ""URANUS"": 10, ""JUPITER"": 24, ""MERCURY"": 20, ""NEPTUNE"": 9}, ""currentPriority"": ""VENUS"", ""previousPriority"": ""EARTH""}"
05d8eaeb-5c99-4ad4-ae1c-004ce7df95d1,Rob,f,f,2026-04-08 17:14:10.727896+00,92,"{""tally"": {""MARS"": 8, ""EARTH"": 6, ""PLUTO"": 18, ""VENUS"": 10, ""SATURN"": 6, ""URANUS"": 10, ""JUPITER"": 20, ""MERCURY"": 12, ""NEPTUNE"": 9}, ""currentPriority"": ""VENUS"", ""previousPriority"": ""MERCURY""}"
bdb8d17b-4219-41cb-a35f-4f5343482b20,Lewis,f,f,2026-04-08 17:14:09.4123+00,87,"{""tally"": {""MARS"": 14, ""EARTH"": 8, ""PLUTO"": 12, ""VENUS"": 2, ""SATURN"": 14, ""URANUS"": 14, ""JUPITER"": 24, ""MERCURY"": 16, ""NEPTUNE"": 12}, ""currentPriority"": ""VENUS"", ""previousPriority"": ""PLUTO""}"
2aa55c03-0fae-4309-9814-87ec12de7996,netrunner,f,f,2026-04-08 17:14:23.539784+00,83,"{""tally"": {""MARS"": 6, ""EARTH"": 6, ""PLUTO"": 24, ""VENUS"": 6, ""SATURN"": 4, ""URANUS"": 14, ""JUPITER"": 20, ""MERCURY"": 14, ""NEPTUNE"": 15}, ""currentPriority"": ""VENUS"", ""previousPriority"": ""SATURN""}"
f5b7fa86-7c35-4e92-8f25-0ca44dfcc312,Richard,f,f,2026-04-08 17:14:09.46505+00,76,"{""tally"": {""MARS"": 4, ""EARTH"": 6, ""PLUTO"": 12, ""VENUS"": 4, ""SATURN"": 0, ""URANUS"": 14, ""JUPITER"": 16, ""MERCURY"": 12, ""NEPTUNE"": 12}, ""currentPriority"": ""EARTH"", ""previousPriority"": ""MARS""}"
06fd61af-f96e-47b0-8125-12731ace6228,Andrew,f,f,2026-04-08 17:14:19.499054+00,67,"{""tally"": {""MARS"": 2, ""EARTH"": 2, ""PLUTO"": 21, ""VENUS"": 2, ""SATURN"": 8, ""URANUS"": 10, ""JUPITER"": 22, ""MERCURY"": 12, ""NEPTUNE"": 9}, ""currentPriority"": ""NEPTUNE"", ""previousPriority"": ""SATURN""}"
83530067-1c83-4548-ad0e-aff72fd838ee,Ayman,t,f,2026-04-08 17:13:51.238116+00,58,"{""tally"": {""MARS"": 6, ""EARTH"": 6, ""PLUTO"": 9, ""VENUS"": 2, ""SATURN"": 2, ""URANUS"": 12, ""JUPITER"": 16, ""MERCURY"": 12, ""NEPTUNE"": 6}, ""currentPriority"": ""NEPTUNE"", ""previousPriority"": ""EARTH""}"
88d2ea96-8326-4202-8a01-c241711f4eef,Archive,f,t,2026-04-08 17:14:45.378972+00,0,{}
